Date,Season,G,Tm,@,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,MP-binned,GmSc/min,PM/min,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
1/19/2005,2,37,CLE,@,POR,W (+6),43.783333333,11,16,0.688,1,1,1,4,6,0.667,1,10,11,10,4,0,2,4,27,30.5,0,Above,0.696612105,0,108.1,106.9,1.2,40,5,33.3,2.4,23.3,13.1,6.7,71.9,72.4,20,94.83,26.7
1/20/2005,2,38,CLE,@,SAC,L (-27),36.616666667,9,19,0.474,0,1,0,0,1,0,1,7,8,6,1,0,3,0,18,12.9,-24,Average,0.352298589,-0.655439235,93.2,124.3,-31.2,33.3,2,21.4,2.2,19.4,9.9,10.7,47.4,46.3,24.7,96.35,12.6
1/22/2005,2,39,CLE,@,GSW,W (+18),43.25,13,24,0.542,0,1,0,2,2,1,1,11,12,10,1,1,3,1,28,25.7,19,Above,0.594219653,0.439306358,117.3,93.8,23.5,33.3,3.33,26.3,2.3,26.2,14.1,7.9,54.2,56.3,28.9,89.91,21.4
1/24/2005,2,40,CLE,,WAS,L (-9),48,12,26,0.462,1,1,1,6,10,0.6,4,6,10,8,2,1,5,3,31,22.7,-9,Above,0.472916667,-0.1875,101,109.3,-8.2,28.6,1.6,18.6,6.9,12.8,9.5,11.6,48.1,51,28.9,96.5,17.3
1/26/2005,2,41,CLE,,MEM,W (+3),41.783333333,10,16,0.625,4,6,0.667,3,4,0.75,1,8,9,15,3,2,5,1,27,32,7,Average,0.765855604,0.167530913,129.3,120.7,8.5,48.4,3,39.5,2.8,25.8,13.4,13.2,75,76,24,94.2,22
2/1/2005,2,42,CLE,@,ORL,L (-3),43.333333333,10,20,0.5,0,3,0,8,13,0.615,2,3,5,7,0,1,3,2,28,20.1,-3,Above,0.463846154,-0.069230769,108.3,113.3,-4.9,29.2,2.33,19.4,4.1,10,6.3,8.3,50,54.4,28.2,92.49,13.9
2/3/2005,2,43,CLE,@,MIA,L (-12),45.95,11,23,0.478,1,3,0.333,8,12,0.667,2,0,2,10,3,0,2,2,31,26.3,-8,Above,0.572361262,-0.174102285,108.6,115.7,-7,41.7,5,25,4,0,2.4,5,50,54.8,31.3,85.66,18.2
2/5/2005,2,44,CLE,,ORL,W (+9),45.6,9,21,0.429,0,3,0,12,13,0.923,0,6,6,9,2,0,1,2,30,26.8,10,Above,0.587719298,0.219298246,106.7,96.6,10,37.5,9,24.3,0,15,7,2.7,42.9,56.1,25.9,94.21,21.2
2/8/2005,2,45,CLE,,TOR,W (+13),36.166666667,6,14,0.429,0,3,0,3,4,0.75,1,7,8,11,3,0,2,1,15,18.3,15,Average,0.505990783,0.414746544,115.7,94.3,21.4,39.3,5.5,39.3,3.4,17.9,11.8,7.1,42.9,47.6,21.8,92.9,17.6
2/11/2005,2,46,CLE,,DEN,L (-5),43.083333333,12,29,0.414,1,6,0.167,10,12,0.833,2,4,6,6,1,0,4,2,35,21.7,-13,Above,0.503675048,-0.301740812,106.1,122,-15.9,31.6,1.5,13.6,5,11.8,8.1,9.1,43.1,51.1,38.8,91.36,14.3
